id,code,name,supplier,image_path,image_count,has_y_source,y_file_count,y_paths,review_status
1931,IT61205,Gạch 600x1200mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/c4c3f4722c10f5db9099716902bf1d300f475989b4225a1cd0110ec07aa9689a.webp,3,yes,6,Gạch Tiến Thành\Gạch Marble\IT61205 - 1.jpg || Gạch Tiến Thành\Gạch Marble\IT61205 - 2.jpg || Gạch Tiến Thành\Gạch Marble\IT61205.jpg || Gạch Tiến Thành\Gạch Marble\hình raw\IT61205 - 1.jpg || Gạch Tiến Thành\Gạch Marble\hình raw\IT61205 - 2.jpg || Gạch Tiến Thành\Gạch Marble\hình raw\IT61205.jpg,
1932,IT61206,Gạch 600x1200mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/a76a44673ab39d146e015345c86350be704a99c8b3ea86e104ae2765dd381274.webp,3,yes,6,Gạch Tiến Thành\Gạch Marble\IT61206 - 1.jpg || Gạch Tiến Thành\Gạch Marble\IT61206 - 2.jpg || Gạch Tiến Thành\Gạch Marble\IT61206.jpg || Gạch Tiến Thành\Gạch Marble\hình raw\IT61206 - 1.jpg || Gạch Tiến Thành\Gạch Marble\hình raw\IT61206 - 2.jpg || Gạch Tiến Thành\Gạch Marble\hình raw\IT61206.jpg,
1933,IT61207,Gạch 600x1200mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/f391987b418fc9fece0f77214577b711c565938ebd73d59109f724cacbdfeb7e.webp,3,yes,6,Gạch Tiến Thành\Gạch Marble\IT61207 - 1.jpg || Gạch Tiến Thành\Gạch Marble\IT61207 - 2.jpg || Gạch Tiến Thành\Gạch Marble\IT61207.jpg || Gạch Tiến Thành\Gạch Marble\hình raw\IT61207 - 1.jpg || Gạch Tiến Thành\Gạch Marble\hình raw\IT61207 - 2.jpg || Gạch Tiến Thành\Gạch Marble\hình raw\IT61207.jpg,
1721,IW61201,Gạch 600x1200mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/cff64ab65d89b905be16fe77841a7284373f73cef720df8896e9f674d5c10faf.webp,1,no,0,,
1722,IW61202,Gạch 600x1200mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/fde3b8571bce12ecab291a45519048dd88e3cf0ad4dba6c99c402ac20fbf42bd.webp,1,no,0,,
1723,IW61203,Gạch 600x1200mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/16a9ee5cfb5fd4759a44a948ae4311bc26c9280021e1824ba23c2c30d5624dd5.webp,1,no,0,,
1724,IW61204,Gạch 600x1200mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/ff3f6ce6c57a6954cd3cfe9b44700c31604301a8b9028f88ebdbd3ccef442b2b.webp,1,no,0,,
1725,IW61205,Gạch 600x1200mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/88ea695d4aac324032a1667a4690b2b9cb7dd06d3e4786308c6531163c33129b.webp,1,no,0,,
1726,IW61206,Gạch 600x1200mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/163fe3ed3f9f68974015c413db8aad4de726843f3c1e13ebd01eee80704a8f70.webp,1,no,0,,
1727,IW61207,Gạch 600x1200mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/fdee266df992e622ed77574e40019a32a2441edc67f287dc4196476788c61a75.webp,1,no,0,,
1729,IW61209,Gạch 600x1200mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/e17207a1515a1b9ddbb72f42f1b001e5cfb4f7282f39df9977b5fbd7d6a38315.webp,1,no,0,,
1730,IW61210,Gạch 600x1200mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/4a125cd29b595627cb3c5a3f9d6bb446beac19123cd6476f8d46ceb50157900f.webp,1,no,0,,
1731,IW6601,Gạch 600x600mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/b1fc59b85da8930fef5d5ffa2f992313474d09b70121f5c2cb35197048a41063.webp,1,no,0,,
1732,IW6602,Gạch 600x600mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/91b037688d1f33d00aae488bf2b23d5c44ef8ad2e0c5840ec69bf11cdfd95580.webp,1,no,0,,
1733,IW6603,Gạch 600x600mm Mờ,DCL,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/c9284b061bd9050c2ff8c9d01b7a1ed971d7708ee90dbb655c140844ffcd78f7.webp,1,no,0,,
